number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_max_depth,params_max_features,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,state
101,0.3757431830844683,2026-06-13 23:14:10.665766,2026-06-13 23:14:12.537105,0 days 00:00:01.871339,0.00023623366421226586,entropy,14,0.956864457609942,0.00026773078288133337,19,17,COMPLETE
102,0.3759637958611054,2026-06-13 23:14:12.537585,2026-06-13 23:14:14.392079,0 days 00:00:01.854494,0.00010717591011886676,entropy,14,0.9868763920287239,0.0002723703836990432,19,16,COMPLETE
103,0.3767131738368324,2026-06-13 23:14:14.394456,2026-06-13 23:14:16.187406,0 days 00:00:01.792950,9.23149024169445e-05,entropy,14,0.9170398364521581,0.0002450310549911503,19,16,COMPLETE
104,0.37865045940492287,2026-06-13 23:14:16.188294,2026-06-13 23:14:18.072453,0 days 00:00:01.884159,8.52051968907128e-05,entropy,13,0.915582896593296,0.00021343317619094314,19,17,COMPLETE
105,0.3545751908259076,2026-06-13 23:14:18.072980,2026-06-13 23:14:19.617239,0 days 00:00:01.544259,0.0002409538108488797,entropy,13,0.9170202723850394,0.0008509972780698291,19,17,COMPLETE
106,0.3602550362873435,2026-06-13 23:14:19.617937,2026-06-13 23:14:21.160468,0 days 00:00:01.542531,0.00039769370179891435,entropy,14,0.9018452371724561,0.0005992869254780818,20,18,COMPLETE
107,0.3380779000577192,2026-06-13 23:14:21.162722,2026-06-13 23:14:22.599056,0 days 00:00:01.436334,0.0005047878864621057,entropy,13,0.8856487266074881,0.0011966509774761697,19,17,COMPLETE
108,0.38040203800194616,2026-06-13 23:14:22.599879,2026-06-13 23:14:24.398830,0 days 00:00:01.798951,8.626583496089239e-05,entropy,14,0.8544030243802654,0.00016582276206808392,20,16,COMPLETE
109,0.3757598064345015,2026-06-13 23:14:24.399591,2026-06-13 23:14:26.277946,0 days 00:00:01.878355,0.0002559443198477246,entropy,14,0.8533088614858846,9.455060979803297e-05,20,19,COMPLETE
110,0.3807178081531202,2026-06-13 23:14:26.278378,2026-06-13 23:14:28.066070,0 days 00:00:01.787692,8.512937435826865e-05,entropy,14,0.8559717167532515,0.00017317066027785864,20,19,COMPLETE
111,0.38321293037734805,2026-06-13 23:14:28.066862,2026-06-13 23:14:29.865820,0 days 00:00:01.798958,8.451874330260631e-05,entropy,14,0.8526340226369903,0.00014615861036686587,20,19,COMPLETE
112,0.36323454721034365,2026-06-13 23:14:29.866499,2026-06-13 23:14:31.411855,0 days 00:00:01.545356,5.7666340416565325e-05,entropy,13,0.8485374728242147,0.00047894867714136347,20,20,COMPLETE
113,0.38655967071610403,2026-06-13 23:14:31.412360,2026-06-13 23:14:33.288754,0 days 00:00:01.876394,0.00011616416490384673,entropy,14,0.8246649568652614,9.503672840671747e-05,20,19,COMPLETE
114,0.360585074768035,2026-06-13 23:14:33.289329,2026-06-13 23:14:34.711938,0 days 00:00:01.422609,0.0001349310827871494,entropy,14,0.8083890732032248,0.0004935783962761707,20,19,COMPLETE
115,0.356847803288376,2026-06-13 23:14:34.712429,2026-06-13 23:14:36.111119,0 days 00:00:01.398690,7.696697882596997e-06,entropy,13,0.7708647739003066,0.0007337178044538506,18,19,COMPLETE
116,0.3510225591339114,2026-06-13 23:14:36.111645,2026-06-13 23:14:37.506758,0 days 00:00:01.395113,0.0003530725883966949,entropy,12,0.8234097057054479,0.0009740609103762796,20,20,COMPLETE
117,0.39150458959227813,2026-06-13 23:14:37.507303,2026-06-13 23:14:40.220177,0 days 00:00:02.712874,7.387553839983934e-05,entropy,14,0.8646626128097636,1.3359526869693065e-06,19,18,COMPLETE
118,0.30755962756011906,2026-06-13 23:14:40.221051,2026-06-13 23:14:42.946919,0 days 00:00:02.725868,0.0021155324703543157,entropy,14,0.8653938214022983,4.855828458321645e-06,19,18,COMPLETE
119,0.35329886387244896,2026-06-13 23:14:42.947341,2026-06-13 23:14:44.267313,0 days 00:00:01.319972,0.00036560022157666305,gini,13,0.8337737890104483,0.00017556271887100592,20,18,COMPLETE
120,0.36384117945917865,2026-06-13 23:14:44.267976,2026-06-13 23:14:45.817084,0 days 00:00:01.549108,7.948098845708554e-05,entropy,14,0.8221684553922014,0.0005007448486032675,18,19,COMPLETE
121,0.38184556315037466,2026-06-13 23:14:45.818023,2026-06-13 23:14:47.596547,0 days 00:00:01.778524,0.00011944517516258831,entropy,14,0.8601993117555851,0.00018413748708964007,19,18,COMPLETE
122,0.3544944105058401,2026-06-13 23:14:47.597064,2026-06-13 23:14:49.064977,0 days 00:00:01.467913,0.00020165011090602977,entropy,14,0.8625041325434375,0.0007310822238820457,19,18,COMPLETE
123,0.3900367301970507,2026-06-13 23:14:49.065596,2026-06-13 23:14:51.546224,0 days 00:00:02.480628,9.31366610892367e-05,entropy,15,0.7951010760742794,7.356046490073674e-06,20,18,COMPLETE
124,0.3508698861146472,2026-06-13 23:14:51.546742,2026-06-13 23:14:54.065739,0 days 00:00:02.518997,1.4907586314436493e-06,entropy,15,0.7913177717436212,4.009371778309583e-06,20,18,COMPLETE
125,0.3627624331517092,2026-06-13 23:14:54.066321,2026-06-13 23:14:55.537662,0 days 00:00:01.471341,9.795669896681979e-05,entropy,15,0.7408082262551638,0.0004465268713852641,20,19,COMPLETE
126,0.3660750468931372,2026-06-13 23:14:55.538216,2026-06-13 23:14:57.377212,0 days 00:00:01.838996,0.0004979893739736033,entropy,15,0.8831431950825774,0.00018665013808362893,19,20,COMPLETE
127,0.35707052386874294,2026-06-13 23:14:57.377703,2026-06-13 23:14:58.856518,0 days 00:00:01.478815,0.00033576624396884224,entropy,10,0.8412381546602034,0.0007020097099614275,20,19,COMPLETE
128,0.36895683256519746,2026-06-13 23:14:58.857117,2026-06-13 23:15:00.444167,0 days 00:00:01.587050,0.0001098384896581521,entropy,15,0.826645901227606,0.00037377735529127036,19,18,COMPLETE
129,0.35203576147402027,2026-06-13 23:15:00.444631,2026-06-13 23:15:01.777875,0 days 00:00:01.333244,0.00021572919874628208,entropy,14,0.811142937945565,0.0009756007564832995,20,18,COMPLETE
130,0.36053410781148665,2026-06-13 23:15:01.778374,2026-06-13 23:15:03.155545,0 days 00:00:01.377171,0.0004352224534325765,entropy,13,0.773641091791214,0.0005740774392170917,19,19,COMPLETE
131,0.37497241051041696,2026-06-13 23:15:03.156333,2026-06-13 23:15:04.761395,0 days 00:00:01.605062,0.0002722812128584253,entropy,14,0.7913153800334316,0.00022369768808166207,18,17,COMPLETE
